title	link	text	text_len	lem_text	auto_tags	manual_tags	gold_tags
Павлюченкова вывела сборную России в полуфинал Кубка Кинг	https://www.vesti.ru/article/2634866	"Анастасия Павлюченкова выиграла у Ализе Корне в рамках матчах сборных России и Франции на Кубке Билли Джин Кинг. Счет в матче стал равным (1:1), но россиянки досрочно оформили путевку в полуфинал.
Первая встреча между Екатериной Александровой и Кларой Бюрель завершилась в пользу француженки. Если и Анастасия Павлюченкова уступила Ализе Корне, то сборная Франции бы одержала досрочную победу. Первый сет принес успех Корне 7:5. Но во второй партии Анастасия взяла реванш 6:4. В третьей партии олимпийская чемпионка Павлюченкова имела значительный перевес, что и отразилось на счете 6:2. Продолжительность встречи составила 2 часа 23 минуты.
Счет в матче стал равным 1:1. Судьбу противостояния решит парная встреча. За сборную России сыграют Дарья Касаткина и Вероника Кудерметова. У француженок выступят Клара Бюрель и Ализе Корне. Однако, россиянки уже досрочно попали в полуфинал командного турнира, поскольку в первом матче ""всухую"" разгромили Канаду (3:0), а канадки в свою очередь, выиграли у Франции (2:1). Так что результат парной комбинации текущего матча на судьбу нашей сборной повлияет не сильно."	161	анастасия павлюченков выиграть у ализ корн в рамка матч сборный россия и франция на кубок билли джина кинг счёт в матч стать равный 1:1 но россиянка досрочно оформить путёвка в полуфинал первый встреча между екатерина александров и клара бюрель завершиться в польза француженка если и анастасия павлюченков уступить ализ корн то сборная франция бы одержать досрочный победа первый сет принести успех корн 7:5 но в второй партия анастасия взять реванш 6:4 в третий партия олимпийский чемпионка павлюченков иметь значительный перевес что и отразиться на счёт 6:2 продолжительность встреча составить 2 час 23 минута счёт в матч стать равный 1:1 судьба противостояние решить парный встреча за сборная россия сыграть дарья касаткин и вероника кудерметов у француженка выступить клара бюрель и ализ корн однако россиянка уже досрочно попасть в полуфинал командный турнир поскольку в первый матч всухую разгромить канада 3:0 а канадка в свой очередь выиграть у франция 2:1 так что результат парный комбинация текущий матч на судьба наш сборная повлиять не сильно	спорт, теннис, Анастасия Павлюченкова, новости, WTA-тур теннис	Анастасия Павлюченкова, Ализе Корне, кубок Билли Джин Кинг, полуфинал, спорт, сборная России, матч, Франция	сборная россия, ализ корн, полуфинал, франция, анастасия павлюченков, кубок билли джина кинг, матч
Ставрополец изнасиловал и забил граблями девушку-подростка	https://www.vesti.ru/article/2634848	"В Кочубеевском округе возбуждено уголовное дело против 21-летнего местного жителя. Он подозревается в совершении ряда преступлений против девушки-подростка, сообщили в краевом управлении Следственного комитета, цитирует ГТРК ""Ставрополье"". 

""Установлено, что вечером 29 октября этого года компания молодых людей собралась у одного из товарищей в хуторе Раздольный. Под утро пьяный подозреваемый отвел 17-летнею знакомую в заброшенный дом, где против ее воли вступил с ней в половую связь"", – говорится в сообщении ведомства.

После того, как преступление было совершено, насильник, опасаясь огласки, нашел в заброшенном доме грабли, привел свою жертву к пруду и забил ее там, нанеся по голове и туловищу не менее десяти ударов зубцами садового инвентаря. Тело преступник спрятал в камышах.

""Следователь СКР задержал подозреваемого, по ходатайству следствиясудом ему избрана мера пресечения в виде заключения под стражу. По уголовному делу проведен осмотр места происшествия, в ходе которого зафиксированы и изъяты следы преступления, назначен ряд судебных экспертиз"", – уточнили в ведомстве.

Уголовное дело против подозреваемого возбуждено по трем статьям: ""изнасилование"", ""убийство"", ""действия сексуального характера"". Следствие продолжается."	164	в кочубеевский округ возбудить уголовный дело против 21-летний местный житель он подозреваться в совершение ряд преступление против девушка-подросток сообщить в краевой управление следственный комитет цитировать гтрк ставрополье установить что вечером 29 октябрь это год компания молодой человек собраться у один из товарищ в хутор раздольный под утро пьяный подозревать отвести 17-летний знакомый в забросить дом где против она воля вступить с она в половой связь говориться в сообщение ведомство после тот как преступление быть совершить насильник опасаться огласка найти в забросить дом грабли привести свой жертва к пруд и забить она там нанести по голова и туловище не менее десять удар зубец садовый инвентарь тело преступник спрятать в камыш следователь скр задержать подозревать по ходатайство следствиясуд он избрать мера пресечение в вид заключение под стража по уголовный дело провести осмотр место происшествие в ход который зафиксировать и изъять след преступление назначить ряд судебный экспертиза уточнить в ведомство уголовный дело против подозревать возбудить по три статья изнасилование убийство действие сексуальный характер следствие продолжаться	"общество, убийство, регионы, насилие, ГТРК ""Ставрополье"", новости, подросток"	Ставрополье, уголовное дело, Следственный комитет, подозреваемый	подросток, подозревать, уголовный дело, убийство, гтрк ставрополье, ставрополье, следственный комитет
Моргенштерн намекнул на уход со сцены	https://www.vesti.ru/television/article/2634886	"Моргенштерн привлек к себе внимание неоднозначным заявлением в Instagram. Рэпер и блогер в подписи к собственным фотографиям в соцсети заявил, что вернется через 10 лет. На снимках деятель шоу-бизнеса был изображен в толпе людей, фотографирующих его на камеры смартфонов и просящих автографы.
Поклонники Моргенштерна решили, что он уходит из шоу-бизнеса. Своими догадками они поделились в комментариях к снимкам, но рэпер оставил их вопросы без ответов."	65	моргенштерн привлечь к себя внимание неоднозначный заявление в instagram рэпер и блогер в подпись к собственный фотография в соцсеть заявить что вернуться через 10 год на снимок деятель шоу-бизнес быть изобразить в толпа человек фотографировать он на камера смартфон и просить автограф поклонник моргенштерный решить что он уходить из шоу-бизнес свой догадка они поделиться в комментарий к снимка но рэпер оставить они вопрос без ответ	общество, телевидение, шоу-бизнес, рэпер, Моргенштерн, новости	Моргенштерн, шоу-бизнес	шоу-бизнес, рэпер, моргенштерн
Массовые мероприятия в школах запретили до 2024 года	https://www.vesti.ru/article/2634764	"Санитарно-эпидемиологические правила в отношении организации работы образовательных организаций и других объектов социальной инфраструктуры для детей и молодежи продлеваются постановлением главного санитарного врача РФ Анны Поповой до 1 января 2024 года. Постановление вступает в силу 4 ноября.
Как следует из документа, до 2024 года запрещено проведение массовых мероприятий в школах, спортивных организациях, спецучреждениях для несовершеннолетних, организаций, специализирующихся на детском досуге, а также в зданиях торговых центров, аэропортах, железнодорожных вокзалах.
Запрет относится к деятельности образовательных организаций, кроме организаций среднего профессионального и высшего образования, и организаций дополнительного образования и досуговых организаций для предотвращения распространения COVID-19.
До указанного времени такие организации, включая школы и детские сады, должны проводить термометрию, регулярную уборку и проветривание помещений, изолировать одни группы детей от других.
Расписание занятий в группах должно снизить до минимума контакты детей: за каждым классом должен быть закреплен свой кабинет.
Как сообщалось ранее, за истекшие сутки в России выявлено 40 433 новых случая заболевания коронавирусом, 1189 заразившихся умерли."	152	санитарно-эпидемиологический правило в отношение организация работа образовательный организация и другой объект социальный инфраструктура для ребёнок и молодёжь продлеваться постановление главное санитарный врач рф анна попов до 1 январь 2024 год постановление вступать в сила 4 ноябрь как следовать из документ до 2024 год запретить проведение массовый мероприятие в школа спортивный организация спецучреждение для несовершеннолетний организация специализироваться на детский досуг а также в здание торговый центр аэропорт железнодорожный вокзал запрет относиться к деятельность образовательный организация кроме организация среднее профессиональный и высокий образование и организация дополнительный образование и досуговый организация для предотвращение распространение covid-19 до указанный время такой организация включая школа и детский сад должный проводить термометрия регулярный уборка и проветривание помещение изолировать один группа ребёнок от другой расписание занятие в группа должный снизить до минимум контакт ребёнок за каждый класс должный быть закрепить свой кабинет как сообщаться ранее за истекший сутки в россия выявить 40 433 новый случай заболевание коронавирус 1189 заразиться умереть	общество, образование, школа, детский сад, Роспотребнадзор, массовые мероприятия, Анна Попова, коронавирус, новости	Анна Попова, коронавирус, COVID-19, Россия, образовательные организации, запрет	запрет, массовый мероприятие, детский сад, коронавирус, анна попов, образовательный организация, россия, школа, covid-19, образование
Часть школьников в Ивановской области будут учиться дистанционно	https://www.vesti.ru/article/2634865	"К очному формату обучения вернутся не все школьники Ивановской области. Данное решение было принято на заседании оперативного штаба региона, передает ГТРК ""Ивтелерадио"".
На брифинге для СМИ заместитель председатель правительства региона Ирина Эрмиш отметила, что с 8 ноября в школы вернутся ученики начальных, а также выпускных классов. Ученики 5,6,7,8 и 10 классов, а также студенты вузов и колледжей предстоящую неделю будут учиться дистанционно.
Кроме того, региональному департаменту здравоохранения поручено провести экспресс-тестирование в школах, чтобы оценить ситуацию с заболеваемостью.
Детские сады возобновят работ в обычном режиме.
Ранее ""Вести.Ru"" сообщали, что число заболевших COVID-19 в РФ за сутки снова превысило 40 тысяч человек.
"	103	к очный формат обучение вернуться не всё школьник ивановский область данный решение быть принять на заседание оперативный штаб регион передавать гтрк ивтелерадио на брифинг для сми заместитель председатель правительство регион ирина эрмиша отметить что с 8 ноябрь в школа вернуться ученик начальный а также выпускной класс ученик 5,6,7,8 и 10 класс а также студент вуз и колледж предстоящий неделя быть учиться дистанционно кроме тот региональный департамент здравоохранение поручить провести экспресс-тестирование в школа чтобы оценить ситуация с заболеваемость детский сад возобновить работа в обычный режим ранее вести.ru сообщать что число заболеть covid-19 в рф за сутки снова превысить 40 тысяча человек	"общество, школа, регионы, штаб, коронавирус, ГТРК ""Ивтелерадио"", дистанционное образование, новости"	Ивановская область, Ирина Эрмиш, студенты, школьники, дистанционный формат, заболеваемость, коронавирус, COVID-19, РФ	заболеваемость, гтрк ивтелерадио, ирина эрмиша, ивановский область, школьник, регион, рф, школа, covid-19, штаб, студент
США ввели санкции против российской Positive Technologies	https://www.vesti.ru/finance/article/2634820	"Минторг США обвинил Positive Technologies в попытках получить доступ к информационным системам в США.
Власти США утверждают, что Positive Technologies, а также две израильские и одна сингапурская компании причастны к незаконной деятельности в киберпространстве.
По мнению Минторга США, Positive Technologies распространяет программное обеспечение (ПО), которое применяют для кибератак.
Все четыре компании внесены в список ""вовлеченных в деятельность, противоречащую интересам национальной безопасности или внешней политики США"", заключает Минторг США."	68	минторг сша обвинить positive technologies в попытка получить доступ к информационный система в сша власть сша утверждать что positive technologies а также два израильский и один сингапурский компания причастный к незаконный деятельность в киберпространство по мнение минторг сша positive technologies распространять программный обеспечение по который применять для кибератака всё четыре компания внести в список вовлечь в деятельность противоречащий интерес национальный безопасность или внешний политика сша заключать минторг сша	экономика, кибератака, США/Америка, санкции, киберпространство, новости	США, Positive Technologies, информационные системы, киберпространство, кибератака, Минторг США	сша, positive technologies, информационный система, кибератака, киберпространство, минторг сша
Умер бывший тренер российских конькобежцев Гудин	https://www.vesti.ru/article/2634781	"Скончался тренер по конькобежному спорту Николай Гудин. Николай Васильеевич возглавлял сборную России с 2006 года по 2010-й.
Николай Васильевич Гудин считался одним из ведущих тренеров в своей спортивной дисциплине. На протяжении четырех лет он руководил сборной России. Среди учеников Гудина олимпийская чемпионка Сетлана Бажанова и чемпион мира Важим Саютин.
Союз конькобежцев России в своем официальном сообщении отметил, что Николай Гудин подготовил немало сильных спортсменов. Николай Васильевич был лауреатом премии министерства спорта Российской Федерации в номинации ""За служение спорту"" в категории ""За вклад в развитие физической культуры и спорта""."	88	скончаться тренер по конькобежный спорт николай гудин николай васильеевич возглавлять сборная россия с 2006 год по 2010-й николай василиевич гудин считаться один из ведущий тренер в свой спортивный дисциплина на протяжение четыре год он руководить сборная россия среди ученик гудин олимпийский чемпионка сетлан бажанов и чемпион мир важим саютина союз конькобежец россия в свой официальный сообщение отметить что николай гудин подготовить немало сильный спортсмен николай василиевич быть лауреат премия министерство спорт российский федерация в номинация за служение спорт в категория за вклад в развитие физический культура и спорт	спорт, смерть/кончина, конькобежный спорт, новости	тренер, Николай Гудин, конькобежный спорт, спорт, сборная России	сборная россия, тренер, николай гудин, спорт, конькобежный спорт
На борту разбившегося Ан-12 были два россиянина	https://www.vesti.ru/article/2634762	"Упавшему под Иркутском грузовому самолету Ан-12 с бортовым номером EW-518TI было 53 года. На его борту было семеро человек, среди них двое россиян и два гражданина Украины. Еще трое погибших были гражданами Белоруссии.
Опубликован список погибших. Это 63-летний командир экипажа россиянин Александр Егоров, бортмеханик Юрий Кропотилив, 50-летний второй пилот, гражданин Украины Олег Щучка, а также 60-летний гражданин Украины Александр Чуприненко. Андрей Сергеев, Дмитрий Гармоненко и 26-летний Максим Карпов были белорусскими гражданами.
Установлено, что перед вылетом из Якутска самолет был в нормальном техническом состоянии. Самолет упал в семи километрах от аэродрома у населенного пункта Пивовариха. После падения используемый для завоза товаров на Чукотку самолет загорелся. Огонь охватил порядка 300 квадратных метров. На месте крушения воздушного грузовика работает сотня спасателей МЧС.
Разбившийся Ан-12 собран в 1968 году на Ташкентском механическом заводе. Он эксплуатировался сначала в ВВС СССР, а затем России. С 1993 по 2003 год самолет стоял на хранении.
О машине, максимальная грузоподъемность которой составляет 21 тонну, известно, что до 2014 года он эксплуатировался Air Armenia, а затем таджикской Asia Airways. Один год самолет находился на хранении в Хартуме, а с 2019 года эксплуатировался белорусской авиакомпанией ""Гродно"". В авиапарке ""Гродно"" 11 Ан-2, по одному Ан-30 и Ан-32, а еще три Ан-12 для грузовых авиаперевозок.
Упавший самолет выполнял рейс Анадырь – Якутск – Иркутск. При заходе разбившегося Ан-12 на посадку отмечались экстремальные погодные условия ниже полетного максимума для самолета подобного класса. В это время над Иркутском шел сильный мокрый снег, который ограничивал видимость. С первого захода самолет приземлиться в Иркутске не смог, поэтому экипаж запросил заход на вторую попытку. После этого Ан-12 пропал с экранов радаров.
Следственный комитет России возбудил уголовное дело после авиакрушения под Иркутском по части 3 статьи 263 Уголовного кодекса России о нарушении правил безопасности эксплуатации воздушного транспорта."	288	упавший под иркутский грузовой самолёт ан-12 с бортовый номер ew-518ti быть 53 год на он борт быть семеро человек среди они двое россиянин и два гражданин украина ещё трое погибнуть быть гражданин белоруссия опубликовать список погибнуть это 63-летний командир экипаж россиянин александр егоров бортмеханик юрий кропотилить 50-летний второй пилот гражданин украина олег щучка а также 60-летний гражданин украина александр чуприненко андрей сергеев дмитрий гармоненко и 26-летний максим карпов быть белорусский гражданин установить что перед вылет из якутск самолёт быть в нормальный технический состояние самолёт упасть в семь километр от аэродром у населить пункт пивовариха после падение использовать для завоз товар на чукотка самолёт загореться огонь охватить порядок 300 квадратный метр на место крушение воздушный грузовик работать сотня спасатель мчс разбиться ан-12 собранный в 1968 год на ташкентский механический завод он эксплуатироваться сначала в ввс ссср а затем россия с 1993 по 2003 год самолёт стоять на хранение о машина максимальный грузоподъёмность который составлять 21 тонна известно что до 2014 год он эксплуатироваться air armenia а затем таджикский asia airways один год самолёт находиться на хранение в хартум а с 2019 год эксплуатироваться белорусский авиакомпания гродно в авиапарка гродно 11 ан-2 по один ан-30 и ан-32 а ещё три ан-12 для грузовой авиаперевозка упавший самолёт выполнять рейс анадырь якутск иркутск при заход разбиться ан-12 на посадка отмечаться экстремальный погодный условие ниже полётный максимум для самолёт подобный класс в это время над иркутский идти сильный мокрый снег который ограничивать видимость с первый заход самолёт приземлиться в иркутск не смочь поэтому экипаж запросить заход на второй попытка после это ан-12 пропасть с экран радар следственный комитет россия возбудить уголовный дело после авиакрушение под иркутский по часть 3 статья 263 уголовный кодекс россия о нарушение правило безопасность эксплуатация воздушный транспорт	общество, происшествия, Россия, самолет, пожар, Украина, Белоруссия, крушение, гражданин/граждане, непогода, Ан-12, погода, Иркутск, новости	Ан-12, Иркутск, авиакатастрофа, самолет, Якутск, уголовное дело	белоруссия, уголовный дело, самолёт, иркутск, ан-12, россия, крушение, якутск, украина
Бабаевец отправится в тюрьму за финансирование террористов	https://www.vesti.ru/article/2634821	"В Вологодской области вынесен приговор 23-летнему жителю Бабаева. Он обвинялся в финансировании террористических организаций.
Как передает ГТРК ""Вологда"" со ссылкой на региональное управление ФСБ, 23-летний юноша является приверженцем радикальных течений ислама. В течение 2020 года он неоднократно перечислял деньги на счета запрещенных в России международных террористических организаций. Средства были направлены для приобретения боевиками оружия, боеприпасов, предметов обмундирования и экипировки. Также подсудимый размещал в интернете видеоматериалы, пропагандирующие терроризм.
С учетом признания вины и активного способствования расследованию преступления молодому человеку назначено наказание в виде лишения свободы сроком 12 лет с отбыванием первых двух лет наказания в тюрьме, а оставшейся части в исправительной колонии строгого режима с лишением права заниматься деятельностью, связанной с администрированием сайтов в сети интернет на срок два года."	119	в вологодский область вынести приговор 23-летний житель бабаев он обвиняться в финансирование террористический организация как передавать гтрк вологда с ссылка на региональный управление фсб 23-летний юноша являться приверженец радикальный течение ислам в течение 2020 год он неоднократно перечислять деньга на счёт запретить в россия международный террористический организация средство быть направить для приобретение боевик оружие боеприпас предмет обмундирование и экипировка также подсудимый размещать в интернет видеоматериал пропагандировать терроризм с учёт признание вина и активный способствование расследование преступление молодой человек назначить наказание в вид лишение свобода срок 12 год с отбывание первый два год наказание в тюрьма а остаться часть в исправительный колония строгий режим с лишение право заниматься деятельность связанный с администрирование сайт в сеть интернет на срок два год	"общество, суд, регионы, финансирование, террористы, новости, ГТРК ""Вологда"""	Вологодская область, терроризм, Вологда, ислам, террористическая организация	вологодский область, терроризм, террористический организация, террорист, суд, регион, финансирование, ислам, вологда, гтрк вологда
"История Урала оживет во время онлайн-марафона ""Славься, Отечество!"""	https://www.vesti.ru/article/2634760	"История Урала оживет во время 16-часового Всероссийского онлайн-марафона ""Славься, Отечество!"". Он будет посвящен празднованию Дня народного единства, трансляция пройдет на медиаплатформе ""Смотрим"" 4 ноября.
Урал расскажет зрителям о своих удивительных местах и людях. Во время онлайн-путешествия на Ямал пользователи смогут увидеть самое большое в мире стадо оленей, в Невьянске познакомиться с династией Демидовых, в Зауралье побывать в знаменитом Далматовском монастыре и так далее.
Вести зрителей по истории Урала будут настоящие исторические лица. К исполнению их ролей готовились актёры местных театров.

""Мы подбирали костюмы для данных исторических героев, потом под эти костюмы подобрали типаж актеров, чтобы походили на них. Евгений Болтнев у нас был в двух ипостасях — он изображал Ярослава Мудрого и Ермака"", – рассказала директор Челябинского театра драмы имени Наума Орлова Елена Петрова.

В марафоне ""Славься, Отечество"" примут участие и другие регионы России."	134	история урал ожить в время 16-часовой всероссийский онлайн-марафон славиться отечество он быть посвятить празднование день народный единство трансляция пройти на медиаплатформа смотреть 4 ноябрь урал рассказать зритель о свой удивительный место и человек в время онлайн-путешествие на ямал пользователь смочь увидеть самый большой в мир стадо олень в невьянск познакомиться с династия демидов в зауралье побывать в знаменитый далматовский монастырь и так далее вести зритель по история урал быть настоящий исторический лицо к исполнение они роль готовиться актёр местный театр мы подбирать костюм для данные исторический герой потом под этот костюм подобрать типаж актёр чтобы походить на они евгений болтнев у мы быть в два ипостась он изображать ярослав мудрый и ермак рассказать директор челябинский театр драма имя наум орлов елена петров в марафон славиться отечество принять участие и другой регион россия	"общество, культура, история, регионы, марафон, День народного единства, новости, ГТРК ""Южный Урал"", Смотрим"	Урал, День народного единства, история, Елена Петрова, Россия, праздник	елена петров, день народный единство, смотреть, марафон, история, регион, россия, урал
